month,year,avg_debit
11,1987,2.8695273251028804E-5
12,1987,2.8015353784860557E-5
1,1988,3.920548347272004E-5
2,1988,4.930778879863189E-5
3,1988,4.3328279838709655E-5
4,1988,4.1527573333333335E-5
5,1988,5.0307270808442855E-5
6,1988,3.8066648971193405E-5
7,1988,3.2692870171246506E-5
8,1988,1.8582982477100756E-5
9,1988,1.5306264197530873E-5
10,1988,2.460928634010354E-5
11,1988,2.240754171855542E-5
12,1988,2.523647822580645E-5
1,1989,1.1727937426210146E-5
2,1989,1.08645574912892E-5
3,1989,2.216656412273801E-5
4,1989,3.2454423577235764E-5
5,1989,3.2342038945712056E-5
6,1989,2.052399308943089E-5
7,1989,1.670970692368214E-5
8,1989,1.2015285995279306E-5
9,1989,9.357357462383079E-6
10,1989,9.509370180959875E-6
11,1989,1.541895447154471E-5
12,1989,1.1266632165605098E-5
1,1990,1.0490433910306846E-5
2,1990,3.426800391986064E-5
3,1990,2.371869512195122E-5
4,1990,1.924278780487805E-5
5,1990,2.7324783241542097E-5
6,1990,2.757278292682928E-5
7,1990,2.0935474036191978E-5
8,1990,1.2522329661683713E-5
9,1990,1.040225E-5
10,1990,1.7228968922108577E-5
11,1990,3.123477764227643E-5
12,1990,2.5847358772619993E-5
1,1991,2.7306492132179388E-5
2,1991,2.141902090592335E-5
3,1991,2.886271085759245E-5
